All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 7 (Okisutch),Drift_Forage 75,0:00:09:27.175/60000,567.00293,79.53653,17.133841,8.118752,0.207495,0.942932,94.003479,
Subsample_2 7 (Okisutch),Drift_Forage 76,0:00:09:29.175/60000,569.00293,77.913475,17.376659,13.404672,0.174627,0.251201,92.342697,
Subsample_2 8 (Omykiss),Drift_Forage 77,0:00:09:00.175/60000,540.00293,47.358086,21.625061,17.991215,0.078225,0.31445,86.444626,
Subsample_2 8 (Omykiss),Drift_Forage 78,0:00:09:03.175/60000,543.00293,41.243023,19.278143,11.117256,0.105072,0.568293,84.862747,
Subsample_2 8 (Omykiss),Drift_Forage 80,0:00:09:09.175/60000,549.00293,36.739292,32.666752,16.296677,0.081649,0.682,96.885551,
Subsample_2 8 (Omykiss),Drift_Forage 79,0:00:09:06.175/60000,546.00293,60.433788,23.600199,8.487418,0.188915,0.22245,92.773499,
Subsample_2 8 (Omykiss),Drift_Forage 81,0:00:09:12.175/60000,552.00293,37.999676,21.519703,9.024514,0.104842,0.368885,87.405655,
Subsample_2 8 (Omykiss),Drift_Forage 82,0:00:09:15.175/60000,555.00293,40.431438,26.330263,10.704139,0.108017,1.158428,91.774971,
Subsample_2 8 (Omykiss),Drift_Forage 83,0:00:09:18.175/60000,558.00293,47.268082,18.33766,7.805666,0.151764,0.122142,85.356583,
Subsample_2 8 (Omykiss),Drift_Forage 84,0:00:09:21.175/60000,561.00293,43.902477,21.126097,8.251503,0.133727,0.071397,87.545189,
Subsample_2 8 (Omykiss),Drift_Forage 85,0:00:09:24.175/60000,564.00293,43.471302,20.323812,10.443793,0.117727,0.359803,86.19548,
Subsample_2 8 (Omykiss),Drift_Forage 86,0:00:09:27.175/60000,567.00293,44.159267,20.641003,7.969185,0.136742,0.88912,87.174629,
Subsample_2 8 (Omykiss),Drift_Forage 87,0:00:09:30.175/60000,570.00293,41.915154,19.163931,7.948022,0.128208,0.766643,85.580666,
Subsample_2 8 (Omykiss),Length 88,0:00:09:03.175/60000,543.00293,41.194263,19.472319,11.036028,0.105385,0.618572,85.067139,
Subsample_2 8 (Omykiss),Length 90,0:00:09:18.24471/60000,558.407837,51.442463,16.654285,8.004958,0.168053,0.431648,84.353783,
Subsample_2 8 (Omykiss),Length 88,0:00:09:03.175/60000,543.00293,45.875423,16.807165,9.701848,0.134094,0.344514,83.225876,
Subsample_2 8 (Omykiss),Length 91,0:00:09:27.175/60000,567.00293,49.603821,19.147148,7.62559,0.161303,0.026251,86.510437,
Subsample_2 8 (Omykiss),Length 91,0:00:09:27.175/60000,567.00293,44.097725,20.569372,8.00827,0.136262,0.381191,87.089973,
Subsample_2 8 (Omykiss),Length 90,0:00:09:18.24471/60000,558.407837,46.484051,18.65476,9.047118,0.139539,0.720708,85.237892,
Subsample_2 9 (Omykiss),Drift_Forage 92,0:00:09:00.175/60000,540.00293,-24.326717,36.77824,-10.110813,0.113832,0.293887,111.951317,
Subsample_2 9 (Omykiss),Drift_Forage 93,0:00:09:03.175/60000,543.00293,-37.432095,44.360394,-11.442719,0.095522,0.831011,123.139114,
Subsample_2 9 (Omykiss),Drift_Forage 94,0:00:09:06.175/60000,546.00293,-52.894047,35.626446,-10.636588,0.104774,0.885354,121.827751,
Subsample_2 9 (Omykiss),Feint 95,0:00:09:09.175/60000,549.00293,-2.68035,29.126274,-6.41206,0.077026,0.276547,99.845802,
Subsample_2 9 (Omykiss),Length 96,0:00:09:09.908/60000,549.015137,-10.556069,27.798872,-7.386617,0.112988,0.119707,99.903954,
Subsample_2 9 (Omykiss),Length 96,0:00:09:09.908/60000,549.015137,-2.599574,28.693991,-6.233901,0.078082,0.240735,99.373466,
Subsample_2 9 (Omykiss),Drift_Forage 97,0:00:09:12.175/60000,552.00293,9.083528,34.885963,-13.326419,0.013063,0.805454,107.588409,
